company_name,city,state,website,business_phone,source_url,source_name,discovered_at,website_status,booking_available,contact_form_available,lead_capture_quality,seo_observations,detected_pain_point,pain_evidence,icp_score,recommended_service,personalized_outreach,approval_status,approved_at,outreach_status,response_status,appointment_status,customer_status
CES Roofing,Tampa,FL,https://www.cesroof.com,,https://www.yellowpages.com/tampa-fl/bpp/ces-roofing-570353012,YellowPages,2026-08-10T23:22:00Z,reachable,True,True,good,Homepage exposes basic contact/lead-capture paths,Lead-capture path could be evaluated for follow-up automation,Observed from publicly accessible homepage/link structure.,8,$500/mo AI B2B Lead Generation System,"Hi CES Roofing team — I was reviewing your public web presence and noticed lead-capture path could be evaluated for follow-up automation. I build AI lead-generation and follow-up systems for service businesses that want more consistent handling of inbound opportunities. If improving lead capture and follow-up is a priority, I can show you a simple $500/month system tailored to your workflow.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
SCM Roofing,Tampa,FL,https://scmroofingfl.com,,https://www.yellowpages.com/tampa-fl/mip/scm-roofing-526561640,YellowPages,2026-08-10T23:22:00Z,reachable,True,True,good,Homepage exposes basic contact/lead-capture paths,Lead-capture path could be evaluated for follow-up automation,Observed from publicly accessible homepage/link structure.,8,$500/mo AI B2B Lead Generation System,"Hi SCM Roofing team — I was reviewing your public web presence and noticed lead-capture path could be evaluated for follow-up automation. I build AI lead-generation and follow-up systems for service businesses that want more consistent handling of inbound opportunities. If improving lead capture and follow-up is a priority, I can show you a simple $500/month system tailored to your workflow.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
GreenTek Roofing & Solar,St. Petersburg,FL,https://greentekroofing.com,,https://www.yellowpages.com/saint-petersburg-fl/roofing-contractors,YellowPages,2026-08-10T23:22:00Z,reachable,True,True,good,Homepage exposes basic contact/lead-capture paths,Lead-capture path could be evaluated for follow-up automation,Observed from publicly accessible homepage/link structure.,8,$500/mo AI B2B Lead Generation System,"Hi GreenTek Roofing & Solar team — I was reviewing your public web presence and noticed lead-capture path could be evaluated for follow-up automation. I build AI lead-generation and follow-up systems for service businesses that want more consistent handling of inbound opportunities. If improving lead capture and follow-up is a priority, I can show you a simple $500/month system tailored to your workflow.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Tropical Roofing Inc,St. Petersburg,FL,http://tropicalroofingincfl.localsearch.com,,https://www.yellowpages.com/st-petersburg-fl/mip/tropical-roofing-inc-2783898,YellowPages,2026-08-10T23:22:00Z,reachable,False,False,needs_review,No obvious online booking/scheduling path found; No obvious contact/quote form found,No obvious booking or scheduling path found,Observed from publicly accessible homepage/link structure.,10,$500/mo AI B2B Lead Generation System,"Hi Tropical Roofing team — I was reviewing your public web presence and noticed that I couldn't identify an obvious online booking/scheduling path or a clear contact/quote form from the homepage/link structure I could access.

I build AI-assisted lead intake systems for service businesses that can give prospects a faster way to start a conversation and qualify an opportunity.

I can put together a 60-second example showing what that could look like for a roofing company. Worth sending over?",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Done Rite Roofing Inc,Clearwater,FL,https://doneriteroofing.com,,https://www.yellowpages.com/clearwater-fl/dunn-rite-roofing,YellowPages,2026-08-10T23:22:00Z,reachable,False,True,needs_review,No obvious online booking/scheduling path found,No obvious booking or scheduling path found,Observed from publicly accessible homepage/link structure.,9,$500/mo AI B2B Lead Generation System,"Hi Done Rite Roofing team — I reviewed your public website and found that you already have a contact path, but I couldn't identify an obvious online booking/scheduling option.

One opportunity would be adding an AI-assisted intake layer that can qualify a homeowner's request and guide them toward the next step before someone has to manually handle the inquiry.

I can show you a quick example built around a roofing workflow. Would you be open to seeing it?",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Hendrick Roofing Inc,Clearwater,FL,http://www.hendrickroofing.com,,https://www.yellowpages.com/clearwater-fl/mip/hendrick-roofing-inc-since-1969-8457910,YellowPages,2026-08-10T23:22:00Z,reachable,False,True,needs_review,No obvious online booking/scheduling path found,No obvious booking or scheduling path found,Observed from publicly accessible homepage/link structure.,9,$500/mo AI B2B Lead Generation System,"Hi Hendrick Roofing team — I was reviewing your public website and noticed that I couldn't identify an obvious online booking/scheduling path, although a contact path is available.

I build AI-assisted intake and lead-generation systems that can sit alongside an existing website and help turn inbound inquiries into more structured opportunities.

I can send you a short example of what that workflow could look like for a roofing company. Interested?",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
T&K Roofing,Brandon,FL,https://www.roof.info/roofing-contractors/florida/brandon/t-k-roofing,,https://www.yellowpages.com/brandon-fl/mip/tk-roofing-469113861,YellowPages,2026-08-10T23:22:00Z,reachable,False,False,needs_review,Missing or unreadable homepage title; No obvious online booking/scheduling path found; No obvious contact/quote form found,No obvious booking or scheduling path found,Observed from publicly accessible homepage/link structure.,9,$500/mo AI B2B Lead Generation System,"Hi T&K Roofing team — I reviewed the publicly accessible website and couldn't identify an obvious booking/scheduling path or contact form from the homepage structure I could access.

That creates an interesting opportunity for an automated intake layer that gives prospective customers a clearer next step while collecting the information needed to qualify the request.

I build these systems for service businesses for $500/month. I can show you a quick working example if you'd like to see it.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Sears Home Improvement Roofing,Brandon,FL,https://searshomeservices.com,,https://www.yellowpages.com/brandon-fl/roofing-equipment-supplies,YellowPages,2026-08-10T23:22:00Z,reachable,True,True,good,Homepage exposes basic contact/lead-capture paths,Lead-capture path could be evaluated for follow-up automation,Observed from publicly accessible homepage/link structure.,8,$500/mo AI B2B Lead Generation System,"Hi Sears Home Improvement Roofing team — I was reviewing your public web presence and noticed lead-capture path could be evaluated for follow-up automation. I build AI lead-generation and follow-up systems for service businesses that want more consistent handling of inbound opportunities. If improving lead capture and follow-up is a priority, I can show you a simple $500/month system tailored to your workflow.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Southern Roof Consultants,Riverview,FL,https://southernroofconsultants.com,,https://www.yellowpages.com/west-riverfront-fl/roofing-services-consultants?page=3,YellowPages,2026-08-10T23:22:00Z,reachable,False,False,needs_review,Missing or unreadable homepage title; No obvious online booking/scheduling path found; No obvious contact/quote form found,No obvious booking or scheduling path found,Observed from publicly accessible homepage/link structure.,9,$500/mo AI B2B Lead Generation System,"Hi Southern Roof Consultants team — I reviewed your public web presence and couldn't identify an obvious online booking/scheduling path or contact form from the homepage structure I could access.

I build AI-assisted lead-intake systems that give website visitors a structured next step while helping organize incoming opportunities.

Rather than sending you a generic sales pitch, I'd be happy to show you a 60-second example tailored to a roofing workflow. Want me to send it?",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
Bill Shields Roofing,Riverview,FL,https://billshieldsroofing.com,,https://www.yellowpages.com/brandon-fl/roof-cleaning,YellowPages,2026-08-10T23:22:00Z,reachable,True,True,good,Homepage exposes basic contact/lead-capture paths,Lead-capture path could be evaluated for follow-up automation,Observed from publicly accessible homepage/link structure.,8,$500/mo AI B2B Lead Generation System,"Hi Bill Shields Roofing team — I was reviewing your public web presence and noticed lead-capture path could be evaluated for follow-up automation. I build AI lead-generation and follow-up systems for service businesses that want more consistent handling of inbound opportunities. If improving lead capture and follow-up is a priority, I can show you a simple $500/month system tailored to your workflow.",PENDING_REVIEW,,NOT_SENT,NOT_CONTACTED,NOT_BOOKED,PROSPECT
